movie_id,movie_title
0,"Godfather, The (1972)"
1,Babe: Pig in the City (1998)
2,"Silence of the Lambs, The (1991)"
3,Rain Man (1988)
4,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954)
5,"Ciao, Professore! (Io speriamo che me la cavo ) (1993)"
6,Places in the Heart (1984)
7,No Way Out (1987)
8,Walkabout (1971)
9,Burnt By the Sun (Utomlyonnye solntsem) (1994)
10,My Life in Pink (Ma vie en rose) (1997)
11,"Apple, The (Sib) (1998)"
12,"Wizard of Oz, The (1939)"
13,Casablanca (1942)
14,Schindler's List (1993)
15,"Shawshank Redemption, The (1994)"
16,Chinatown (1974)
17,Cold Fever (Á köldum klaka) (1994)
18,Not One Less (Yi ge dou bu neng shao) (1999)
19,Maya Lin: A Strong Clear Vision (1994)
20,American Beauty (1999)
21,Fargo (1996)
22,Shakespeare in Love (1998)
23,Saving Private Ryan (1998)
24,To Live (Huozhe) (1994)
25,"Fast, Cheap & Out of Control (1997)"
26,Sense and Sensibility (1995)
27,"Sixth Sense, The (1999)"
28,Babe (1995)
29,Hoop Dreams (1994)
30,Run Lola Run (Lola rennt) (1998)
31,L.A. Confidential (1997)
32,Quiz Show (1994)
33,Citizen Ruth (1996)
34,Microcosmos (Microcosmos: Le peuple de l'herbe) (1996)
35,Apollo 13 (1995)
36,Welcome to the Dollhouse (1995)
37,Thirty-Two Short Films About Glenn Gould (1993)
38,Bound (1996)
39,Fearless (1993)
40,Shall We Dance? (Shall We Dansu?) (1996)
41,"Pillow Book, The (1995)"
42,Like Water for Chocolate (Como agua para chocolate) (1992)
43,Life Is Beautiful (La Vita è bella) (1997)
44,Sling Blade (1996)
45,Ed Wood (1994)
46,Heavenly Creatures (1994)
47,Farewell My Concubine (1993)
48,Good Will Hunting (1997)
49,"Crying Game, The (1992)"
50,"Usual Suspects, The (1995)"
51,Crumb (1994)
52,To Die For (1995)
53,Philadelphia (1993)
54,Bullets Over Broadway (1994)
55,Reservoir Dogs (1992)
56,Terminator 2: Judgment Day (1991)
57,"Postino, Il (The Postman) (1994)"
58,"Apostle, The (1997)"
59,Go (1999)
60,"Spanish Prisoner, The (1997)"
61,"Simple Plan, A (1998)"
62,Once Were Warriors (1994)
63,Four Weddings and a Funeral (1994)
64,"Full Monty, The (1997)"
65,Amadeus (1984)
66,"Killing Fields, The (1984)"
67,"Thin Blue Line, The (1988)"
68,Dangerous Liaisons (1988)
69,Blade Runner (1982)
70,"Room with a View, A (1986)"
71,Women on the Verge of a Nervous Breakdown (1988)
72,Gandhi (1982)
73,Diner (1982)
74,Ran (1985)
75,Maurice (1987)
76,"Ballad of Narayama, The (Narayama Bushiko) (1982)"
77,Stop Making Sense (1984)
78,"Right Stuff, The (1983)"
79,Stand by Me (1986)
80,"Terminator, The (1984)"
81,Do the Right Thing (1989)
82,My Life as a Dog (Mitt liv som hund) (1985)
83,Bull Durham (1988)
84,Mona Lisa (1986)
85,Die Hard (1988)
86,Raiders of the Lost Ark (1981)
87,Star Wars: Episode V - The Empire Strikes Back (1980)
88,Brazil (1985)
89,"Verdict, The (1982)"
90,When Harry Met Sally... (1989)
91,This Is Spinal Tap (1984)
92,Glory (1989)
93,Raising Arizona (1987)
94,Platoon (1986)
95,Mystery Train (1989)
96,Driving Miss Daisy (1989)
97,Airplane! (1980)
98,Friday the 13th Part 2 (1981)
99,My Left Foot (1989)
100,E.T. the Extra-Terrestrial (1982)
101,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)"
102,Moonstruck (1987)
103,"Last Emperor, The (1987)"
104,Aliens (1986)
105,Heathers (1989)
106,Trading Places (1983)
107,Sid and Nancy (1986)
108,Sophie's Choice (1982)
109,"Fish Called Wanda, A (1988)"
110,Tender Mercies (1983)
111,Blue Velvet (1986)
112,Children of a Lesser God (1986)
113,Star Trek: The Wrath of Khan (1982)
114,Who Framed Roger Rabbit? (1988)
115,"Adventures of Buckaroo Bonzai Across the 8th Dimension, The (1984)"
116,Star Trek IV: The Voyage Home (1986)
117,Excalibur (1981)
118,Star Wars: Episode VI - Return of the Jedi (1983)
119,Ghostbusters (1984)
120,"Gods Must Be Crazy, The (1980)"
121,Dead Poets Society (1989)
122,Repo Man (1984)
123,Radio Days (1987)
124,Fatal Attraction (1987)
125,She's Gotta Have It (1986)
126,"Fly, The (1986)"
127,"Paris, Texas (1984)"
128,"American Werewolf in London, An (1981)"
129,"Soldier's Story, A (1984)"
130,Birdy (1984)
131,Indiana Jones and the Last Crusade (1989)
132,Risky Business (1983)
133,Caddyshack (1980)
134,"Unbearable Lightness of Being, The (1988)"
135,"Color Purple, The (1985)"
136,History of the World: Part I (1981)
137,"Good Mother, The (1988)"
138,"Abyss, The (1989)"
139,Stripes (1981)
140,Batman (1989)
141,Cocoon (1985)
142,"Blues Brothers, The (1980)"
143,Back to the Future Part II (1989)
144,Splash (1984)
145,On Golden Pond (1981)
